,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
56,31,0.003466003999989198,31,1,0.012251609999992752,51,1,0.036209440000021687,,1,1.1081219259999955,31,0.008288675999978068,41,4,0.027419374999993806,54,1,1.393653038999986,35,2,0.038691480000011325
57,131,0.5345926489999897,,3,0.5738992640000049,151,3,1.4820813059999978,151,3,1.3322923560000106,131,0.23515679599998407,,10,3.7412875269999972,182,9,9.24017764300001,172,15,6.059372043999986
58,89,0.11167513799998119,89,20,4.024071830999986,,4,1.1546122519999926,,4,0.5025614890000156,89,0.19633397600000535,,18,2.33188518099999,184,5,3.354193885000001,100,5,1.9029606769999816
59,46,0.019951872999996567,46,5,0.41708339400000227,68,1,0.08120859699999983,68,1,0.1070933309999873,46,0.03174992600000337,83,9,0.22219865099998515,72,0,0.05311826600001268,50,2,0.05495450599997298
60,66,0.08362801000001241,66,30,2.112527013999994,132,1,1.5585571080000022,110,1,0.7354319639999858,66,0.061001935999996704,194,34,1.683786916999992,139,1,1.6841674670000089,97,11,0.7496244310000009
61,39,0.034086775999981,39,2,0.057368830999990905,145,1,1.263122291000002,39,1,0.07568435700000009,39,0.007531884999991689,42,1,0.016868606000002728,42,1,0.5377029180000079,42,1,0.035962280000006785
62,48,0.04850454400002491,48,0,0.05493418999998312,52,0,0.01766794099998492,52,0,0.018030951000014284,48,0.06936439500000802,58,4,0.0921469570000113,52,0,0.8433192539999936,49,1,0.179207746000003
63,29,0.008204098999982534,29,1,0.020266630000008945,29,0,0.007846832000012682,29,0,0.008342706000007638,29,0.018508177999990494,32,1,0.0373282890000155,29,0,0.00963118800001439,29,0,0.0205432040000062
64,69,0.04553086300001041,69,1,0.06643750700004603,173,2,1.0579199070000413,75,0,0.25691204199995354,69,0.09103127299999869,75,4,0.2642689830000222,175,0,1.353827907999971,73,0,0.21733788500000628
65,53,0.02670250300002408,53,2,0.10676339299999427,109,0,1.4735111609999763,,5,0.3263005730000259,53,0.030337905999999748,57,4,0.1725462660000403,96,3,0.18554165900002317,62,3,0.19717494299999316
66,63,0.04101772799998571,63,8,0.7952824380000152,101,0,0.45884957599997733,101,0,0.4151292960000319,63,0.0704083159999982,66,3,0.09592871099999911,101,0,0.12254580199999054,87,6,0.5225656909999543
67,76,0.07543416599997954,76,20,1.0197478079999769,98,2,0.29589753999999857,88,0,0.34734473800000387,76,0.09139062700000977,94,10,1.4032263640000338,98,0,0.2474761400000034,89,7,1.5394913420000194
68,85,0.07915439100003141,85,7,0.5211598960000288,121,0,0.2900305339999818,91,0,0.22682925899999873,87,0.1660507609999513,,10,1.8717049829999723,121,0,0.4189612479999596,,9,1.7431155849999982
69,68,0.031974544000036076,,8,0.9141834870000025,,2,0.0609915069999829,,1,0.6335119060000238,70,0.11401507600004379,,17,0.7627785039999821,,13,8.831644135000033,,16,0.8690296660000172
70,90,0.11419569499997806,,16,0.985354798000003,114,3,0.2956069730000195,102,2,0.2510855389999733,92,0.11745740200001364,,6,0.630826533000004,114,0,0.18534120900000062,107,5,0.4777347069999678
71,78,0.21026684499997828,,3,0.19783577099997274,116,3,1.4496163629999614,96,3,0.5060256250000066,78,0.10091668399996934,105,5,0.5099857320000183,145,3,4.225825222000026,114,6,0.8302663919999986
72,54,0.0299073659999749,54,11,0.3770755229999736,100,1,1.0272814379999886,100,1,0.32821794699998463,54,0.06304554499996584,56,2,0.1240373859999977,100,0,0.13645206600000392,55,1,0.10541745599999786
73,95,0.2337618409999891,95,9,1.1322652659999903,127,3,0.3967189489999896,127,3,0.44078947899998866,95,0.29387662999999975,100,5,1.5359244370000056,143,10,10.369776853000019,118,9,1.5185801730000321
74,55,0.05435867200003486,55,2,0.1536728180000182,57,0,0.08727880000003552,57,0,0.09559002800000371,55,0.11269738300001109,78,11,0.975845937000031,57,0,0.13099894900000209,64,5,0.6431615860000193
75,103,0.24583283500004427,,2,0.4850372789999824,121,0,0.7228338870000357,109,1,0.4634428859999957,103,0.2589495250000482,142,13,3.5619784169999775,121,0,0.47255115699999806,109,2,0.9992423609999719
76,71,0.11386700899998914,71,20,1.6309192829999688,,1,0.1529993359999935,,1,0.15834668800005147,71,0.12162818400003061,,5,0.46619682700003295,109,12,1.6824714669999707,109,12,0.2602002970000399
77,18,0.0031112370000414558,18,2,0.019038901999977043,20,1,0.0036534630000346624,20,1,0.0061573719999614696,18,0.0051800410000168995,22,2,0.00455107299995916,22,2,0.6057748719999836,22,2,0.011050772999965375
78,49,0.030429443999992145,49,10,0.597357058,55,0,0.025849532999984604,55,0,0.02490837300001658,49,0.058544077999954425,72,11,0.4997741509999969,57,0,0.04317236200000707,69,8,0.5560472949999848
79,25,0.008675009000000955,25,0,0.012372261999985312,43,0,1.097788228000013,25,0,0.02908555199996954,25,0.004114648999973269,25,0,0.0044181620000358635,25,0,0.5948365379999814,25,0,0.006792205000010654
80,18,0.004413820000024771,18,0,0.0042930600000090635,18,0,0.0045063100000106715,18,0,0.004728725999996186,18,0.004627273000039622,18,0,0.00610062100003006,18,0,0.8760952500000485,18,0,0.011254529999973784
81,127,0.12920702100001336,,21,0.24301514400002588,,12,0.5001793770000518,,12,0.448029914000017,127,0.159762733999969,234,31,5.0064102320000075,245,24,14.757191402000046,209,24,6.605264803000011
82,40,0.014188534000027175,40,0,0.01713366900003166,60,0,0.029647857000043132,60,0,0.032124101000022165,40,0.00842589000001226,40,0,0.01001870299995744,60,0,0.7853794659999949,40,0,0.013148613999987901
83,61,0.06767692199997555,61,3,0.6188962909999987,63,1,0.8152898079999886,63,1,0.5538876150000078,61,0.07633962399995653,66,5,0.22797206399997094,63,0,0.08161633899999288,63,0,0.13910673099996984
84,57,0.026216508999993948,57,2,0.8502704709999875,73,0,0.1052264409999566,73,0,0.10079749999999876,57,0.10278802599998471,62,3,0.15558322699996552,75,0,0.171139605999997,69,6,0.2786204669999961
85,45,0.020940603999974883,45,25,3.56430826899998,83,0,0.13454699900000833,,1,0.11286872900001299,45,0.05363544400000819,,13,0.18756709499996305,87,0,0.1221634549999635,,13,0.17871811500003787
86,19,0.001983644999995704,19,3,0.34815275699997983,19,1,0.0036943100000144113,19,1,0.0037852130000146644,19,0.0037454080000429713,19,0,0.004241872000022795,19,0,0.003569674000004852,19,0,0.003607731999977659
87,78,0.21273340099997995,78,6,0.5481411700000081,86,2,0.33324046500001714,86,2,0.36359423499999366,78,0.11185377999998991,138,18,1.6086026890000085,86,0,0.23825608999999304,78,0,0.18760233599999765
88,88,0.1843862910000098,88,17,4.10326523599997,96,0,0.1643564660000152,96,0,0.20814791399999422,94,0.23201335999999628,,9,1.6512431159999892,102,0,0.43848261400000865,,4,0.6007936650000261
89,50,0.030670871999973315,50,9,0.6548651279999831,104,2,0.6084216329999776,,4,1.5659538290000228,50,0.07894809099997246,50,0,0.10068574799998942,55,3,1.7801005159999477,54,2,0.18170839099997238
90,44,0.0461173600000393,44,9,1.0887432349999813,,4,0.19594409800004087,,3,1.7364492620000078,44,0.028992822000020624,61,7,0.037640839000005144,76,10,5.962482792999992,61,7,0.06409559100001161
91,21,0.003409820000001673,21,6,0.5275072259999547,23,0,0.00559238099998538,23,0,0.005478285999970467,23,0.004794502999970973,27,4,0.01699305900001491,23,0,0.00369271499999968,27,4,0.014257951000047342
92,64,0.14336465600001702,64,1,0.20982735399996955,66,0,0.09945030999995197,66,0,0.06329589799997848,64,0.1513923699999964,65,1,0.24677718599997434,67,1,1.6998910940000087,64,0,0.2636160950000317
93,77,0.1799196370000118,77,5,0.6014676300000019,79,0,1.6496165870000254,79,0,0.5360513619999665,77,0.20192064499997286,97,8,1.186838684999998,89,0,1.156316903000004,78,1,0.5969158550000202
94,41,0.039523174999999355,41,4,0.5831119850000164,57,0,0.05794235900003741,57,0,0.06319342699998742,43,0.03661688099998628,49,4,0.03838294600001291,57,0,0.0789107509999667,51,4,0.17078775699997095
95,20,0.004211686000019199,20,2,0.29026228999998693,20,0,1.4947266610000156,20,0,0.03432980200000202,20,0.009468364000042584,20,0,0.010707446999958847,20,0,0.004862779000006867,20,0,0.007909201000018129
96,98,0.23666873000001942,98,6,0.974933937000003,136,4,1.7674157789999754,146,5,0.8149404910000158,98,0.1882739689999653,,8,1.7781260350000139,137,1,0.9408170579999933,114,4,1.2466672320000498
97,25,0.0057311269999900105,25,1,0.010804471999961152,63,0,0.22586390399999345,29,0,0.07502581300002475,27,0.007346277999999984,28,1,0.017558885999960694,63,0,0.01104021699995883,28,1,0.02034258300000147
98,66,0.04878359999997883,66,24,2.1498584969999683,94,1,0.24746698000001288,70,0,0.1354543040000067,66,0.13218354200000704,,5,0.28983532299997705,94,0,0.24214381999996704,,4,0.3115292399999703
99,71,0.0800235149999935,71,9,0.624670497000011,87,0,0.12964916399999993,75,0,0.10027569999999741,71,0.15158556299996917,89,8,0.6487177430000202,87,0,0.6590891230000011,79,2,0.24617182300005425
